date,open,close,high,low,volume,amount,pct_change
2023-07-12,6576.94,6482.99,6576.96,6476.85,140204471,187051032495.20,-1.46
2023-07-13,6497.81,6548.31,6553.60,6497.76,135117757,180915189196.40,1.01
2023-07-14,6554.53,6544.46,6571.14,6538.65,135631971,188566810412.70,-0.06
2023-07-17,6524.61,6516.56,6525.19,6481.29,126408773,169117052479.30,-0.43
2023-07-18,6519.76,6510.03,6537.91,6490.06,119968653,159965850726.50,-0.10
2023-07-19,6508.52,6492.35,6530.54,6459.44,109136335,141853309418.70,-0.27
2023-07-20,6497.78,6408.76,6512.45,6404.12,122150962,155152822235.90,-1.29
2023-07-21,6397.15,6401.42,6447.30,6378.20,113590849,138788097492.40,-0.11
2023-07-24,6397.43,6393.79,6437.99,6370.05,109049465,129838947141.00,-0.12
2023-07-25,6448.27,6498.27,6499.42,6444.58,147365727,173378677340.30,1.63
2023-07-26,6497.59,6457.25,6497.59,6441.56,149583522,156686884841.10,-0.63
2023-07-27,6458.48,6407.55,6475.83,6397.59,144624358,153183204639.70,-0.77
2023-07-28,6389.43,6465.38,6471.68,6369.37,157267532,166557072689.70,0.90
2023-07-31,6475.83,6515.85,6549.75,6475.83,183815980,200589879396.80,0.78
2023-08-01,6513.14,6507.41,6521.97,6482.17,184326464,183590037269.70,-0.13
2023-08-02,6499.86,6496.02,6515.07,6475.42,168646289,171110955343.60,-0.18
2023-08-03,6472.11,6499.54,6502.55,6460.28,163471395,164830188575.00,0.05
2023-08-04,6514.54,6535.32,6561.74,6505.86,194622999,205415679148.20,0.55
2023-08-07,6524.30,6503.98,6532.52,6485.66,168919412,185333349118.40,-0.48
2023-08-08,6496.59,6471.34,6500.90,6457.25,142743414,154646581021.40,-0.50
2023-08-09,6452.98,6420.98,6464.36,6411.23,132319467,148343587966.10,-0.78
2023-08-10,6409.22,6426.81,6438.43,6392.89,131957692,134873259680.60,0.09
2023-08-11,6428.88,6304.64,6428.88,6304.64,149016729,149330410481.60,-1.90
2023-08-14,6251.97,6319.41,6320.95,6213.98,138392221,145626319567.70,0.23
2023-08-15,6318.55,6261.73,6325.57,6203.44,122703107,132851531982.60,-0.91
2023-08-16,6240.71,6186.40,6255.81,6186.40,124958759,132390724363.00,-1.20
2023-08-17,6167.65,6247.60,6255.05,6128.13,129135238,139152590239.60,0.99
2023-08-18,6245.13,6117.11,6259.79,6117.11,139212539,139942744386.90,-2.09
2023-08-21,6107.92,6057.17,6154.25,6057.17,117091696,119633708945.60,-0.98
2023-08-22,6082.72,6099.19,6108.21,5984.44,144282422,153871289474.60,0.69
2023-08-23,6084.15,5973.67,6084.15,5973.65,128422382,135807067809.50,-2.06
2023-08-24,5989.43,5987.97,6049.55,5942.57,134197451,146793181319.90,0.24
2023-08-25,5960.59,5879.03,5980.24,5855.88,140117108,150562437510.20,-1.82
2023-08-28,6204.10,5922.16,6204.10,5907.94,210870098,213172935998.40,0.73
2023-08-29,5909.46,6108.76,6121.59,5907.96,186689576,200633240451.90,3.15
2023-08-30,6117.41,6139.63,6185.27,6102.09,167499560,194127658982.30,0.51
2023-08-31,6130.64,6104.30,6130.95,6087.33,143040409,161004803812.90,-0.58
2023-09-01,6108.13,6107.20,6136.78,6086.27,124017053,138221321938.30,0.05
2023-09-04,6129.54,6198.76,6198.76,6109.10,155507281,167770708192.20,1.50
2023-09-05,6188.52,6167.64,6206.35,6154.83,141067999,162636723668.80,-0.50
2023-09-06,6146.39,6195.38,6202.32,6117.81,129717664,154853582103.20,0.45
2023-09-07,6185.33,6083.49,6185.33,6083.49,132254116,150714755551.10,-1.81
2023-09-08,6063.24,6102.49,6128.84,6062.90,118918279,142083251234.90,0.31
2023-09-11,6114.07,6182.64,6204.43,6083.39,144003299,172589292458.90,1.31
2023-09-12,6175.63,6184.61,6212.26,6169.04,120512253,144771928170.40,0.03
